label,filter_label,scenario,spectrum_name,channel,normalization_case,pair,triplet_phase,amplitude_used,amplitude_column,S_T,width_prefactor,dressed_filter_amplitude,margin_current_2p4e34,margin_future_1e35,tau_current_years,gamma_year_inv,gamma_GeV,K_dyn_year_inv,K_dyn_GeV,S_T_max_current,S_T_max_future_1e35,future_amplitude_headroom,future_amplitude_suppression_needed,selected_index,min_phase_amplitude,phase_spread,source_file
soft_spectrum_width,omegaR_0.1_kappa_100,democratic_all_stress,near_unsafe_20TeV,LLLL_upupdown_Knu,max_width,23,,2.3611060851309718e-11,amplitude_with_dressing,7.5e-06,0.0019122754090593987,1.7708295638482288e-16,1.2920804429503372,0.3100993063080809,3.100993063080809e+34,3.224773418249794e-35,6.726064156289765e-67,0.5377683484484836,1.1216491653077467e-32,8.525228731005198e-06,4.176492066295535e-06,0.5568656088394047,1.7957654129228,,,,/Users/boypatrick/codex/another_physics/output/soft_spectrum_d5_replay/channel_replay.csv
projected_worst_phase_width,omegaR_0.1_kappa_100,democratic_all_stress,near_unsafe_20TeV,LLLL_upupdown_Knu,max_width,13,4.1887902047863905,2.54393681914797e-11,max_phase_amplitude,7.5e-06,0.0019122754090593987,1.9079526143609774e-16,1.113032669677855,0.2671278407226852,2.6712784072268516e+34,3.743525936100892e-35,7.80805109421145e-67,0.5377683484484836,1.1216491653077468e-32,7.912527261841147e-06,3.876330873474431e-06,0.5168441164632575,1.934819354901354,,1.9122371872900112e-13,133.03458567047284,/Users/boypatrick/codex/another_physics/output/interference_tightened_d5_replay/channel_replay.csv
